T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
,,,,,,,,
14.1,22.2,5.8,-,61,1.8,4.3,11.1,
,,,,,,,,
15.1,23.6,8.2,-,64,1.1,3.9,13,
,,,,,,,,
12.1,19,7,-,84,0.6,8.5,16.5,
,,,,,,,,
11.8,17.4,7.8,,84,0.8,7,11.1,
,,,,,,,,
13.2,21.6,7.6,,79,1,9.8,18.3,
,,,,,,,,
14.2,19.2,9,,80,1.4,8.5,22.2,
,,,,,,,,
12.6,19.2,8,-,85,1.1,6.1,11.1,
,,,,,,,,
11.8,19.4,8,1018.2,88,0.6,8.3,16.5,
,,,,,,,,
13,20.8,7,-,67,2.1,10.4,22.2,
,,,,,,,,
13.2,21.2,6.3,,65,1.6,5.6,13,
,,,,,,,,
14.7,21.6,7.8,,63,1.6,3.5,9.4,
,,,,,,,,
14.9,23.2,8.8,,64,1.4,4.3,13,
,,,,,,,,
16.3,23.2,8.9,-,67,1.3,8.5,14.8,
,,,,,,,,
12.1,19.4,6,-,57,2.4,13.1,22.2,
,,,,,,,,
11.1,18.2,5.6,-,67,2.1,7.8,59.4,
,,,,,,,,
13.2,21.6,6.5,,67,1.1,3.9,11.1,
,,,,,,,,
13.6,21.4,6.5,,67,1,5.2,14.8,
,,,,,,,,
12.7,20.5,6,,72,1,5.4,16.5,
,,,,,,,,
15.8,25.1,7.8,-,60,1.6,3.9,11.1,
,,,,,,,,
19.3,28.5,7.8,-,54,2.1,5.2,11.1,
,,,,,,,,
16.7,28.5,12.6,-,77,1.8,14.1,25.9,
,,,,,,,,
14.4,18.2,10,,95,1.8,9.3,20.6,
,,,,,,,,
13.1,18.2,8.8,,94,0.6,4.3,11.1,
,,,,,,,,
14.8,21.7,10.1,,82,1.8,9.3,20.6,
,,,,,,,,
13.6,21.7,10,-,77,1.6,9.1,14.8,
,,,,,,,,
12.1,19.4,6.8,-,64,1.8,9.4,14.8,
,,,,,,,,
10.6,17.4,5,-,74,1.9,10.7,18.3,
,,,,,,,,
11.3,19.2,5.2,,66,2.4,10.9,24.1,
,,,,,,,,
12.3,20.9,5,,59,2.3,9.6,18.3,
,,,,,,,,
13.6,20.9,6,,58,1.6,6.9,16.5,
,,,,,,,,
15.1,20.9,10.7,-,60,2.6,10,18.3,
,,,,,,,,
14.1,22,9,-,79,1.1,11.9,18.3,
,,,,,,,,
11.7,16.6,8,-,96,0.6,11.9,18.3,
,,,,,,,,
12.4,18,8,-,92,0.6,6.9,14.8,
,,,,,,,,
13.9,22.2,7.4,,78,1.8,5,13,
,,,,,,,,
17.7,25.2,10.5,,67,1.6,8.5,14.8,
,,,,,,,,
19,25.2,13.6,,79,2.1,13.3,22.2,
,,,,,,,,
15.2,19.2,9.6,-,94,1.9,13.9,27.8,
,,,,,,,,
13.4,20.2,8,-,74,2.4,9.4,18.3,
,,,,,,,,
13.3,20.8,7,-,71,2.4,8.5,18.3,
,,,,,,,,
14,20.2,7,,69,1.8,5.9,16.5,
,,,,,,,,
15.4,21.8,8.5,,69,1.4,4.1,11.1,
,,,,,,,,
17.3,22.4,12,,69,1.3,4.8,11.1,
,,,,,,,,
19,25.4,12.6,-,62,1.6,7,13,
,,,,,,,,
17.2,25.4,13.9,-,80,1.6,13.5,22.2,
,,,,,,,,
16.4,21,13.2,-,85,1.4,10.6,18.3,
,,,,,,,,
14.7,20.4,11,,91,1.1,10.9,16.5,
,,,,,,,,
15.6,22.2,10,,75,1.4,8.1,18.3,
,,,,,,,,
18.7,25.5,12.5,,61,2.7,12.4,22.2,
,,,,,,,,
18.8,23.5,13,-,76,1.6,6.9,11.1,
,,,,,,,,
18.1,21.2,16,-,81,2.6,11.7,22.2,
,,,,,,,,
21.7,29,14.8,-,64,2.7,10.4,18.3,
,,,,,,,,
17.6,23.6,10,,71,2.7,16.7,22.2,
,,,,,,,,
16.1,23.6,9,,62,2.7,12.6,27.8,
,,,,,,,,
16.8,24.2,10.9,,59,2.7,7.2,16.5,
,,,,,,,,
17.5,26.4,11.5,-,55,2.9,9.6,25.9,
,,,,,,,,
15.7,22.4,11.2,-,64,3.2,9.8,24.1,
,,,,,,,,
14.7,21.6,10.5,-,69,3.2,8,18.3,
,,,,,,,,
15.2,22.2,10,,65,2.9,7.4,24.1,
,,,,,,,,
17.1,24.9,8.8,-,54,2.9,7.4,18.3,
,,,,,,,,
14.7,19.2,12,-,84,2.3,8.3,20.6,
,,,,,,,,
17.2,22.5,11.7,-,84,2.3,6.7,18.3,
,,,,,,,,
18.1,24.4,13,,82,1.9,10.9,22.2,
,,,,,,,,
17.2,24.4,11,,68,2.6,11.3,22.2,
,,,,,,,,
17.9,26,11,,57,3.2,8.1,20.6,
,,,,,,,,
19.3,28.2,11.2,-,54,2.6,7.4,14.8,
,,,,,,,,
20.4,28.2,12.8,-,54,3.1,7,14.8,
,,,,,,,,
20.2,27.6,13.6,-,53,3.2,10.6,22.2,
,,,,,,,,
19.7,28.2,12.2,,49,3.4,9.4,18.3,
,,,,,,,,
21.7,29.2,15,,53,3.1,12.2,27.8,
,,,,,,,,
21.1,28.2,14,,52,3.2,8.9,18.3,
,,,,,,,,
18.7,24,14,-,60,2.9,3.3,11.1,
,,,,,,,,
17.3,25.2,12,-,71,2.6,10.6,22.2,
,,,,,,,,
18.7,27.2,10.1,-,64,2.3,12.4,22.2,
,,,,,,,,
20,27.2,12,,55,3.5,8.1,14.8,
,,,,,,,,
20.9,29.4,14,,53,3.1,9.4,16.5,
,,,,,,,,
21.3,29.6,13.2,,51,2.9,8.1,18.3,
,,,,,,,,
23.6,32.4,14,-,45,2.7,9.3,14.8,
,,,,,,,,
26.3,34.4,17.8,-,41,2.7,9.3,22.2,
,,,,,,,,
24.8,32.2,18,-,48,3.4,9.6,16.5,
,,,,,,,,
22.7,32.2,16,,42,4,13.1,22.2,
,,,,,,,,
23.6,31.8,16,,42,3.4,12.8,22.2,
,,,,,,,,
23.6,33.2,15,,51,3.4,12,18.3,
,,,,,,,,
22.6,31.8,16,-,55,2.9,11.5,18.3,
,,,,,,,,
23.7,31.4,16,-,50,3.5,11.3,22.2,
,,,,,,,,
24.4,33,16,-,45,2.9,8.1,18.3,
,,,,,,,,
27.4,35.8,18,,42,3.4,4.4,13,
,,,,,,,,
29.3,38.3,20.4,,46,3.4,5,18.3,
,,,,,,,,
30.9,39.5,22,,41,3.4,6.9,35.2,
,,,,,,,,
27.8,36,18,-,34,3.4,13.1,22.2,
,,,,,,,,
26.4,37,16,-,33,3.2,10.6,22.2,
,,,,,,,,
27.3,36.9,18.4,-,32,3.7,6.9,14.8,
,,,,,,,,
28.7,38.2,18.7,-,34,3.5,7,18.3,
,,,,,,,,
30.8,40.4,21,,34,3.2,6.1,18.3,
,,,,,,,,
32.1,40.8,22,,33,3.1,7.2,18.3,
,,,,,,,,
32.8,40.4,24.2,,31,3.2,7,13,
,,,,,,,,
29.1,40.4,22,-,51,2.4,12.4,27.8,
,,,,,,,,
28.3,37.5,20.5,-,46,2.9,6.9,20.6,
,,,,,,,,
29.8,38.2,21.8,-,42,3.2,5.9,13,
,,,,,,,,
32.3,40.2,23.2,,33,3.5,8.5,14.8,
,,,,,,,,
32.9,40.6,24,,29,3.9,9.3,22.2,
,,,,,,,,
31.1,38.4,24.8,,34,3.4,12,18.3,
,,,,,,,,
31.6,39.2,23.8,-,32,4,13.7,24.1,
,,,,,,,,
32.4,39.6,23.9,-,31,3.7,13.7,18.3,
,,,,,,,,
32.6,41.2,24,-,30,3.7,11.9,29.4,
,,,,,,,,
